month,total.non-content,total.content,timeRange.start,timeRange.end
2001-01-01T00:00:00.000Z,49,81,2001-01-01T00:00:00.000Z,2001-02-01T00:00:00.000Z
2001-02-01T00:00:00.000Z,29,57,2001-02-01T00:00:00.000Z,2001-03-01T00:00:00.000Z
2001-03-01T00:00:00.000Z,59,148,2001-03-01T00:00:00.000Z,2001-04-01T00:00:00.000Z
2001-04-01T00:00:00.000Z,38,91,2001-04-01T00:00:00.000Z,2001-05-01T00:00:00.000Z
2001-05-01T00:00:00.000Z,45,127,2001-05-01T00:00:00.000Z,2001-06-01T00:00:00.000Z
2001-06-01T00:00:00.000Z,53,124,2001-06-01T00:00:00.000Z,2001-07-01T00:00:00.000Z
2001-07-01T00:00:00.000Z,126,383,2001-07-01T00:00:00.000Z,2001-08-01T00:00:00.000Z
2001-08-01T00:00:00.000Z,144,302,2001-08-01T00:00:00.000Z,2001-09-01T00:00:00.000Z
2001-09-01T00:00:00.000Z,221,749,2001-09-01T00:00:00.000Z,2001-10-01T00:00:00.000Z
2001-10-01T00:00:00.000Z,265,708,2001-10-01T00:00:00.000Z,2001-11-01T00:00:00.000Z
2001-11-01T00:00:00.000Z,338,898,2001-11-01T00:00:00.000Z,2001-12-01T00:00:00.000Z
2001-12-01T00:00:00.000Z,427,1259,2001-12-01T00:00:00.000Z,2002-01-01T00:00:00.000Z
2002-01-01T00:00:00.000Z,388,1021,2002-01-01T00:00:00.000Z,2002-02-01T00:00:00.000Z
2002-02-01T00:00:00.000Z,555,1554,2002-02-01T00:00:00.000Z,2002-03-01T00:00:00.000Z
2002-03-01T00:00:00.000Z,516,1542,2002-03-01T00:00:00.000Z,2002-04-01T00:00:00.000Z
2002-04-01T00:00:00.000Z,409,1442,2002-04-01T00:00:00.000Z,2002-05-01T00:00:00.000Z
2002-05-01T00:00:00.000Z,363,1395,2002-05-01T00:00:00.000Z,2002-06-01T00:00:00.000Z
2002-06-01T00:00:00.000Z,403,1383,2002-06-01T00:00:00.000Z,2002-07-01T00:00:00.000Z
2002-07-01T00:00:00.000Z,483,1624,2002-07-01T00:00:00.000Z,2002-08-01T00:00:00.000Z
2002-08-01T00:00:00.000Z,686,2346,2002-08-01T00:00:00.000Z,2002-09-01T00:00:00.000Z
2002-09-01T00:00:00.000Z,799,3110,2002-09-01T00:00:00.000Z,2002-10-01T00:00:00.000Z
2002-10-01T00:00:00.000Z,916,3295,2002-10-01T00:00:00.000Z,2002-11-01T00:00:00.000Z
2002-11-01T00:00:00.000Z,881,3434,2002-11-01T00:00:00.000Z,2002-12-01T00:00:00.000Z
2002-12-01T00:00:00.000Z,1105,3683,2002-12-01T00:00:00.000Z,2003-01-01T00:00:00.000Z
2003-01-01T00:00:00.000Z,1388,4665,2003-01-01T00:00:00.000Z,2003-02-01T00:00:00.000Z
2003-02-01T00:00:00.000Z,1352,3848,2003-02-01T00:00:00.000Z,2003-03-01T00:00:00.000Z
2003-03-01T00:00:00.000Z,1330,4312,2003-03-01T00:00:00.000Z,2003-04-01T00:00:00.000Z
2003-04-01T00:00:00.000Z,1364,4579,2003-04-01T00:00:00.000Z,2003-05-01T00:00:00.000Z
2003-05-01T00:00:00.000Z,1627,5681,2003-05-01T00:00:00.000Z,2003-06-01T00:00:00.000Z
2003-06-01T00:00:00.000Z,1686,6242,2003-06-01T00:00:00.000Z,2003-07-01T00:00:00.000Z
2003-07-01T00:00:00.000Z,2033,7787,2003-07-01T00:00:00.000Z,2003-08-01T00:00:00.000Z
2003-08-01T00:00:00.000Z,2315,8917,2003-08-01T00:00:00.000Z,2003-09-01T00:00:00.000Z
2003-09-01T00:00:00.000Z,2464,9665,2003-09-01T00:00:00.000Z,2003-10-01T00:00:00.000Z
2003-10-01T00:00:00.000Z,2633,10500,2003-10-01T00:00:00.000Z,2003-11-01T00:00:00.000Z
2003-11-01T00:00:00.000Z,2807,10849,2003-11-01T00:00:00.000Z,2003-12-01T00:00:00.000Z
2003-12-01T00:00:00.000Z,2951,12059,2003-12-01T00:00:00.000Z,2004-01-01T00:00:00.000Z
2004-01-01T00:00:00.000Z,3413,13609,2004-01-01T00:00:00.000Z,2004-02-01T00:00:00.000Z
2004-02-01T00:00:00.000Z,4355,18379,2004-02-01T00:00:00.000Z,2004-03-01T00:00:00.000Z
2004-03-01T00:00:00.000Z,6037,24840,2004-03-01T00:00:00.000Z,2004-04-01T00:00:00.000Z
2004-04-01T00:00:00.000Z,5946,24539,2004-04-01T00:00:00.000Z,2004-05-01T00:00:00.000Z
2004-05-01T00:00:00.000Z,6366,26279,2004-05-01T00:00:00.000Z,2004-06-01T00:00:00.000Z
2004-06-01T00:00:00.000Z,8608,28073,2004-06-01T00:00:00.000Z,2004-07-01T00:00:00.000Z
2004-07-01T00:00:00.000Z,9456,33917,2004-07-01T00:00:00.000Z,2004-08-01T00:00:00.000Z
2004-08-01T00:00:00.000Z,10165,34860,2004-08-01T00:00:00.000Z,2004-09-01T00:00:00.000Z
2004-09-01T00:00:00.000Z,12909,43120,2004-09-01T00:00:00.000Z,2004-10-01T00:00:00.000Z
2004-10-01T00:00:00.000Z,14528,51441,2004-10-01T00:00:00.000Z,2004-11-01T00:00:00.000Z
2004-11-01T00:00:00.000Z,17762,62446,2004-11-01T00:00:00.000Z,2004-12-01T00:00:00.000Z
2004-12-01T00:00:00.000Z,18414,67373,2004-12-01T00:00:00.000Z,2005-01-01T00:00:00.000Z
2005-01-01T00:00:00.000Z,18389,72486,2005-01-01T00:00:00.000Z,2005-02-01T00:00:00.000Z
2005-02-01T00:00:00.000Z,17519,68578,2005-02-01T00:00:00.000Z,2005-03-01T00:00:00.000Z
2005-03-01T00:00:00.000Z,21202,83783,2005-03-01T00:00:00.000Z,2005-04-01T00:00:00.000Z
2005-04-01T00:00:00.000Z,26064,103145,2005-04-01T00:00:00.000Z,2005-05-01T00:00:00.000Z
2005-05-01T00:00:00.000Z,27668,115121,2005-05-01T00:00:00.000Z,2005-06-01T00:00:00.000Z
2005-06-01T00:00:00.000Z,30275,120624,2005-06-01T00:00:00.000Z,2005-07-01T00:00:00.000Z
2005-07-01T00:00:00.000Z,36327,149631,2005-07-01T00:00:00.000Z,2005-08-01T00:00:00.000Z
2005-08-01T00:00:00.000Z,42223,169144,2005-08-01T00:00:00.000Z,2005-09-01T00:00:00.000Z
2005-09-01T00:00:00.000Z,41815,176510,2005-09-01T00:00:00.000Z,2005-10-01T00:00:00.000Z
