page_title,rank,timestamp,total.total,month,timeRange.start,timeRange.end
المصرية_للاتصالات,1,2022-07-01T00:00:00.000Z,31,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
سندس_(مسلسل),2,2022-07-01T00:00:00.000Z,24,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
User talk:حسن_شنكالي,3,2022-07-01T00:00:00.000Z,23,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Project:ملعب,4,2022-07-01T00:00:00.000Z,23,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
العصر_القبطي,5,2022-07-01T00:00:00.000Z,22,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
كأس_مصر,6,2022-07-01T00:00:00.000Z,22,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
بيتر_ميمي,7,2022-07-01T00:00:00.000Z,19,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
إينيغو_مارتينيز,8,2022-07-01T00:00:00.000Z,18,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
هدم_قباب_البقيع,9,2022-07-01T00:00:00.000Z,17,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
روبرت_ليفاندوفسكي,10,2022-07-01T00:00:00.000Z,17,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
NGC_2329,11,2022-07-01T00:00:00.000Z,16,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
قائمة_الأفلام_التي_تدور_أحداثها_في_مصر_القديمة,12,2022-07-01T00:00:00.000Z,16,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
نادي_المريخ_(السودان),13,2022-07-01T00:00:00.000Z,16,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
