page_title,rank,timestamp,total.total,month,timeRange.start,timeRange.end
Project:Sandbox,1,2022-07-01T00:00:00.000Z,869,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
2022_Conservative_Party_leadership_election_(UK),2,2022-07-01T00:00:00.000Z,357,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Project:Teahouse,3,2022-07-01T00:00:00.000Z,345,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Draft:List_of_Serbian_Orthodox_parishes_in_the_United_States,4,2022-07-01T00:00:00.000Z,333,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
List_of_M_jak_miłość_characters,5,2022-07-01T00:00:00.000Z,324,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
2022_AFF_U-19_Youth_Championship,6,2022-07-01T00:00:00.000Z,280,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Project:Administrator_intervention_against_vandalism,7,2022-07-01T00:00:00.000Z,265,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Constructive_set_theory,8,2022-07-01T00:00:00.000Z,262,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
List_of_British_Jewish_entertainers,9,2022-07-01T00:00:00.000Z,259,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Rocketry:_The_Nambi_Effect,10,2022-07-01T00:00:00.000Z,257,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Project:Administrators'_noticeboard/Incidents,11,2022-07-01T00:00:00.000Z,253,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Project:Reference_desk/Humanities,12,2022-07-01T00:00:00.000Z,239,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
2022_AFL_season,13,2022-07-01T00:00:00.000Z,237,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Project:Articles_for_creation/Redirects_and_categories,14,2022-07-01T00:00:00.000Z,237,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
2022_FIVB_Volleyball_Women's_Nations_League,15,2022-07-01T00:00:00.000Z,234,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
MBC_4,16,2022-07-01T00:00:00.000Z,227,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Ek_Villain_Returns,17,2022-07-01T00:00:00.000Z,225,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
The_Chromatica_Ball,18,2022-07-01T00:00:00.000Z,221,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
List_of_programs_broadcast_by_PBS_Kids,19,2022-07-01T00:00:00.000Z,218,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
