page_title,rank,timestamp,total.total,month,timeRange.start,timeRange.end
Category:اصحاب_كباريهات,1,2022-07-01T00:00:00.000Z,1,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Category:كباريهات,2,2022-07-01T00:00:00.000Z,1,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Category:لعيبه_كاس_اسيا_1972,3,2022-07-01T00:00:00.000Z,1,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Template:Str_sub_old,4,2022-07-01T00:00:00.000Z,1,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
User talk:CCavadov,5,2022-07-01T00:00:00.000Z,1,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
User talk:CelaleddinMenguberti,6,2022-07-01T00:00:00.000Z,1,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
User talk:Googol19980904,7,2022-07-01T00:00:00.000Z,1,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
User talk:GreenRatLoch,8,2022-07-01T00:00:00.000Z,1,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
User talk:Juliomirpires,9,2022-07-01T00:00:00.000Z,1,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
User talk:Kamalthebest,10,2022-07-01T00:00:00.000Z,1,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
User talk:Keremkaya2005,11,2022-07-01T00:00:00.000Z,1,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
User talk:Mikhaliov,12,2022-07-01T00:00:00.000Z,1,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
User talk:Mitrolayzing,13,2022-07-01T00:00:00.000Z,1,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
User talk:Nama.Asal,14,2022-07-01T00:00:00.000Z,1,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
User talk:Nama.ngasal,15,2022-07-01T00:00:00.000Z,1,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
User talk:Teste08112021,16,2022-07-01T00:00:00.000Z,1,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
User talk:Ts123321,17,2022-07-01T00:00:00.000Z,1,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
User talk:UnsereEntarteteKunst,18,2022-07-01T00:00:00.000Z,1,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
جماعة_الدوا_القران,19,2022-07-01T00:00:00.000Z,1,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
ليبراليه_كلاسيكيه,20,2022-07-01T00:00:00.000Z,1,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
