page_title,rank,timestamp,total.total,month,timeRange.start,timeRange.end
وفيات_2022,1,2022-07-01T00:00:00.000Z,310,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
آرني_نوفاك,2,2022-07-01T00:00:00.000Z,255,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
حياة_أرسينيف,3,2022-07-01T00:00:00.000Z,229,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
نادي_الهلال_السعودي_موسم_2022–23,4,2022-07-01T00:00:00.000Z,215,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
غابور_ماتي,5,2022-07-01T00:00:00.000Z,209,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
نادي_الهلال_السعودي_موسم_2021–22,6,2022-07-01T00:00:00.000Z,207,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
حياة_ديفيد_جيل_(فيلم),7,2022-07-01T00:00:00.000Z,206,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
المسيحية_في_الكويت,8,2022-07-01T00:00:00.000Z,182,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
قائمة_العلاوات_الخاصة_(مصر),9,2022-07-01T00:00:00.000Z,181,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
بروغريس_إم_1-5,10,2022-07-01T00:00:00.000Z,165,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
المحامية_الغريبة_يونغ_وو,11,2022-07-01T00:00:00.000Z,154,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
مترو_القاهرة,12,2022-07-01T00:00:00.000Z,152,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
إذاعة_وتلفزيون_البرتغال,13,2022-07-01T00:00:00.000Z,152,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
إكسدس_(رواية),14,2022-07-01T00:00:00.000Z,143,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
سوكيياكي,15,2022-07-01T00:00:00.000Z,139,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
الحد_الاخير_(مسلسل),16,2022-07-01T00:00:00.000Z,136,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
معركة_نيقوبوليس,17,2022-07-01T00:00:00.000Z,126,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
ابن_خلدون,18,2022-07-01T00:00:00.000Z,125,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
حسن_البنا,19,2022-07-01T00:00:00.000Z,125,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
وسام_القديس_أولاف,20,2022-07-01T00:00:00.000Z,125,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
.pro,21,2022-07-01T00:00:00.000Z,125,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
فيف_الريح,22,2022-07-01T00:00:00.000Z,125,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
ألعاب_البحر_الأبيض_المتوسط_2022,23,2022-07-01T00:00:00.000Z,118,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
قائمة_الاختراعات_والاكتشافات_الصينية,24,2022-07-01T00:00:00.000Z,117,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
التقرير_(فيلم_1977),25,2022-07-01T00:00:00.000Z,115,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
النظام_الإلكتروني_لتصاريح_السفر_(الولايات_المتحدة_الأمريكية),26,2022-07-01T00:00:00.000Z,113,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
كريستيان_ليوبولد_فون_بوخ,27,2022-07-01T00:00:00.000Z,106,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
الأنهار_الجليدية_على_المريخ,28,2022-07-01T00:00:00.000Z,105,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
