page_title,rank,timestamp,total.total,month,timeRange.start,timeRange.end
Talk:وادي_الكهوف_القديمة_في_الكرمل,1,2022-07-01T00:00:00.000Z,684,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Project:إخطار_الإداريين/استرجاع/الحالية,2,2022-07-01T00:00:00.000Z,479,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Project:طلبات_مراجعة_المقالات,3,2022-07-01T00:00:00.000Z,460,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Project:طلبات_مراجعة_التعديلات,4,2022-07-01T00:00:00.000Z,384,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Project:طلبات_النقل/الحالية,5,2022-07-01T00:00:00.000Z,320,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Project:طلبات_رفع_صور,6,2022-07-01T00:00:00.000Z,224,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Project:تغيير_اسم_المستخدم/طلبات_تغيير,7,2022-07-01T00:00:00.000Z,202,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
User talk:Nehaoua,8,2022-07-01T00:00:00.000Z,185,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
User:Mr.Karhi/ملعب7,9,2022-07-01T00:00:00.000Z,185,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
User:Mr.Karhi/ملعب13,10,2022-07-01T00:00:00.000Z,165,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Project:طلبات_نقل_التصنيفات,11,2022-07-01T00:00:00.000Z,141,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
User talk:جار_الله,12,2022-07-01T00:00:00.000Z,135,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
