page_title,rank,timestamp,total.total,month,timeRange.start,timeRange.end
Template:كاس_إفريقيا_د_لكورة_د_لعيالات_2022_ݣروپات,1,2022-07-01T00:00:00.000Z,40,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Template:تضمين_ديال_ترتيب_د_لكتاتبيا_ف_صفحة_لولة,2,2022-07-01T00:00:00.000Z,32,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Project:ميزان_لكلام,3,2022-07-01T00:00:00.000Z,14,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Template:حساب_د_لمقالات_د_لمغريب,4,2022-07-01T00:00:00.000Z,13,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Template:معلومات_تورنوا_عالمي,5,2022-07-01T00:00:00.000Z,12,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Template:لخبار_ديال_الصفحة_اللولا,6,2022-07-01T00:00:00.000Z,10,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Project:لأهداف,7,2022-07-01T00:00:00.000Z,9,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Talk:قلوة,8,2022-07-01T00:00:00.000Z,7,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Talk:عاداد_طبيعي,9,2022-07-01T00:00:00.000Z,6,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Project talk:لأرتيكل_لمزيانة_ديال_ليوم,10,2022-07-01T00:00:00.000Z,5,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Talk:بزطام_ديجيطالي,11,2022-07-01T00:00:00.000Z,5,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Template:معلومات_ماكلة,12,2022-07-01T00:00:00.000Z,5,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Template:نتائيج_بوطولا_2_(2022-2023),13,2022-07-01T00:00:00.000Z,5,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Template:MONTHNAME,14,2022-07-01T00:00:00.000Z,5,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Module:Year_in_various_calendars,15,2022-07-01T00:00:00.000Z,4,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Project:طلب_صلاحية_أمغار,16,2022-07-01T00:00:00.000Z,4,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Template:Fbw,17,2022-07-01T00:00:00.000Z,4,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
