page_title,rank,timestamp,total.total,month,timeRange.start,timeRange.end
Talk:وادي_الكهوف_القديمة_في_الكرمل,1,2022-07-01T00:00:00.000Z,684,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Talk:إستر_ليفيت,2,2022-07-01T00:00:00.000Z,66,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Project:إحصاءات/المستخدمين_حسب_عدد_إنشاء_المقالات_(متضمنة_البوتات),3,2022-07-01T00:00:00.000Z,61,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Project:إحصاءات/المستخدمين_حسب_عدد_إنشاء_التحويلات_(متضمنة_البوتات),4,2022-07-01T00:00:00.000Z,60,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Project:إحصاءات/المستخدمين_حسب_عدد_إنشاء_الصفحات,5,2022-07-01T00:00:00.000Z,58,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Project:قائمة_الصفحات_الأكثر_مشاهدة_حسب_مشروع_الويكي,6,2022-07-01T00:00:00.000Z,49,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
User talk:Nehaoua,7,2022-07-01T00:00:00.000Z,48,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Project:طلبات_نقل_التصنيفات,8,2022-07-01T00:00:00.000Z,35,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Template:قائمة_الإداريين,9,2022-07-01T00:00:00.000Z,29,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
User:JarBot/صفحات,10,2022-07-01T00:00:00.000Z,29,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Project:إحصاءات/المستخدمين_حسب_عدد_إنشاء_القوالب_(متضمنة_البوتات),11,2022-07-01T00:00:00.000Z,29,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Project:إحصاءات/المقالات_غير_الموجودة_حسب_عدد_وصلات_اللغات/de,12,2022-07-01T00:00:00.000Z,28,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Project:إحصاءات/نقاشات_طويلة,13,2022-07-01T00:00:00.000Z,28,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
User talk:لوقا,14,2022-07-01T00:00:00.000Z,28,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Project:إحصاءات/المستخدمين_حسب_عدد_إنشاء_صفحات_المساعدة,15,2022-07-01T00:00:00.000Z,28,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Project:قائمة_الويكيبيديين_حسب_عدد_التعديلات_(متضمنة_البوتات),16,2022-07-01T00:00:00.000Z,28,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Project:إحصاءات/المستخدمين_حسب_عدد_إنشاء_البوابات,17,2022-07-01T00:00:00.000Z,27,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Project:إحصاءات/المقالات_غير_الموجودة_حسب_عدد_وصلات_اللغات/he,18,2022-07-01T00:00:00.000Z,27,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Project:إحصاءات/نشاط_الإداريين,19,2022-07-01T00:00:00.000Z,27,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Project:إحصاءات/المستخدمين_حسب_عدد_إنشاء_صفحات_المساعدة_(متضمنة_البوتات),20,2022-07-01T00:00:00.000Z,27,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
User:JarBot/تعديلات,21,2022-07-01T00:00:00.000Z,27,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Project:إحصاءات/المستخدمين_حسب_عدد_إنشاء_التصانيف,22,2022-07-01T00:00:00.000Z,26,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Project:إحصاءات/المستخدمين_حسب_عدد_إنشاء_القوالب,23,2022-07-01T00:00:00.000Z,26,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Project:إحصاءات/قائمة_البوابات_المقترحة,24,2022-07-01T00:00:00.000Z,26,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Project:إخطار_الإداريين/أسماء_مستخدمين_للفحص,25,2022-07-01T00:00:00.000Z,26,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Project:إحصاءات/المقالات_غير_الموجودة_حسب_عدد_وصلات_اللغات/fr,26,2022-07-01T00:00:00.000Z,26,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
User talk:محمد_أحمد_عبد_الفتاح,27,2022-07-01T00:00:00.000Z,26,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Project:قائمة_الويكيبيديين_حسب_عدد_التعديلات,28,2022-07-01T00:00:00.000Z,25,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Project:قائمة_الويكيبيديين_حسب_عدد_المراجعات,29,2022-07-01T00:00:00.000Z,25,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Project:إحصاءات/المستخدمين_حسب_عدد_إنشاء_التحويلات,30,2022-07-01T00:00:00.000Z,25,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Project:إحصاءات/المستخدمين_حسب_عدد_إنشاء_التصانيف_(متضمنة_البوتات),31,2022-07-01T00:00:00.000Z,25,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Project:إحصاءات/المقالات_غير_الموجودة_حسب_عدد_وصلات_اللغات/en,32,2022-07-01T00:00:00.000Z,25,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Project:إحصاءات/المقالات_غير_الموجودة_حسب_عدد_وصلات_اللغات/pt,33,2022-07-01T00:00:00.000Z,25,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Project:إحصاءات/المستخدمين_حسب_عدد_إنشاء_المقالات,34,2022-07-01T00:00:00.000Z,25,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Project:إحصاءات/المقالات_غير_الموجودة_حسب_عدد_وصلات_اللغات/tr,35,2022-07-01T00:00:00.000Z,25,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Project:إحصاءات/المستخدمين_حسب_عدد_إنشاء_البوابات_(متضمنة_البوتات),36,2022-07-01T00:00:00.000Z,24,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Project:إحصاءات/المقالات_غير_الموجودة_حسب_عدد_وصلات_اللغات/es,37,2022-07-01T00:00:00.000Z,24,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Project:إحصاءات/المقالات_غير_الموجودة_حسب_عدد_وصلات_اللغات/fa,38,2022-07-01T00:00:00.000Z,24,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Project:قائمة_الويكيبيديين_حسب_عدد_مراجعة_التعديلات,39,2022-07-01T00:00:00.000Z,24,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Template:COVID-19_data/data,40,2022-07-01T00:00:00.000Z,24,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Project:ملعب,41,2022-07-01T00:00:00.000Z,23,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
User:Mr.Ibrahembot/lint/2022,42,2022-07-01T00:00:00.000Z,23,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Project:تغيير_اسم_المستخدم/أرشيف/2022/يوليو,43,2022-07-01T00:00:00.000Z,22,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Template:تحويل_تصنيف/تصانيف_بوصلات_لغات,44,2022-07-01T00:00:00.000Z,22,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Project:إخطار_الإداريين/استرجاع/أرشيف/2022/يوليو,45,2022-07-01T00:00:00.000Z,21,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
User talk:Dyolf77/أرشيف_15,46,2022-07-01T00:00:00.000Z,21,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Project:إخطار_الإداريين/استرجاع/الحالية,47,2022-07-01T00:00:00.000Z,20,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Project:تغيير_اسم_المستخدم/طلبات_تغيير,48,2022-07-01T00:00:00.000Z,20,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
User talk:جار_الله,49,2022-07-01T00:00:00.000Z,20,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Project:طلبات_النقل/الحالية,50,2022-07-01T00:00:00.000Z,19,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Project:طلبات_مراجعة_المقالات,51,2022-07-01T00:00:00.000Z,19,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Project:طلبات_مراجعة_المقالات/أرشيف/2022/يوليو,52,2022-07-01T00:00:00.000Z,19,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Project:نقاش_الحذف,53,2022-07-01T00:00:00.000Z,19,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Template:المنافسات_في_ألعاب_البحر_الأبيض_المتوسط_2022,54,2022-07-01T00:00:00.000Z,19,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
User talk:لوقا/أرشيف_10,55,2022-07-01T00:00:00.000Z,19,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
User talk:Muhends,56,2022-07-01T00:00:00.000Z,18,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Project:الميدان/تقنية,57,2022-07-01T00:00:00.000Z,17,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Project:طلبات_مراجعة_التعديلات/أرشيف/2022/يوليو,58,2022-07-01T00:00:00.000Z,17,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Project:طلبات_مراجعة_التعديلات,59,2022-07-01T00:00:00.000Z,16,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Project:مشروع_ويكي_الصيانة/بدون_إنترويكي/ث,60,2022-07-01T00:00:00.000Z,16,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
User talk:Sandra_Hanbo,61,2022-07-01T00:00:00.000Z,16,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Project:مشروع_ويكي_الصيانة/بدون_إنترويكي/ض,62,2022-07-01T00:00:00.000Z,15,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Project:مشروع_ويكي_الصيانة/بدون_إنترويكي/ه,63,2022-07-01T00:00:00.000Z,15,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
User talk:Dyolf77,64,2022-07-01T00:00:00.000Z,15,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
User talk:حسن_القيم/أرشيف_7,65,2022-07-01T00:00:00.000Z,15,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Project:طلبات_رفع_صور/أرشيف/2022/يوليو,66,2022-07-01T00:00:00.000Z,14,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Project:مشروع_ويكي_الصيانة/بدون_إنترويكي/ر,67,2022-07-01T00:00:00.000Z,14,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
