user_text,rank,timestamp,total.total,month,timeRange.start,timeRange.end
MalnadachBot,1,2022-07-01T00:00:00.000Z,816835,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
WP 1.0 bot,2,2022-07-01T00:00:00.000Z,74343,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Citation bot,3,2022-07-01T00:00:00.000Z,66143,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
InternetArchiveBot,4,2022-07-01T00:00:00.000Z,37159,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
PrimeBOT,5,2022-07-01T00:00:00.000Z,36668,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
AnomieBOT,6,2022-07-01T00:00:00.000Z,35035,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
AAlertBot,7,2022-07-01T00:00:00.000Z,29393,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
InceptionBot,8,2022-07-01T00:00:00.000Z,20802,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
JJMC89 bot III,9,2022-07-01T00:00:00.000Z,19755,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Lowercase sigmabot III,10,2022-07-01T00:00:00.000Z,17504,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Qwerfjkl (bot),11,2022-07-01T00:00:00.000Z,15487,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
WikiCleanerBot,12,2022-07-01T00:00:00.000Z,13643,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
RMCD bot,13,2022-07-01T00:00:00.000Z,12942,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
DeltaQuadBot,14,2022-07-01T00:00:00.000Z,12615,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
GreenC bot,15,2022-07-01T00:00:00.000Z,12587,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
BattyBot,16,2022-07-01T00:00:00.000Z,12402,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
MediaWiki message delivery,17,2022-07-01T00:00:00.000Z,12173,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
SDZeroBot,18,2022-07-01T00:00:00.000Z,10441,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
DatBot,19,2022-07-01T00:00:00.000Z,9087,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
EmausBot,20,2022-07-01T00:00:00.000Z,8832,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
ClueBot III,21,2022-07-01T00:00:00.000Z,8179,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
