user_text,rank,timestamp,total.total,month,timeRange.start,timeRange.end
JarBot,1,2022-07-01T00:00:00.000Z,145027,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Mr.Ibrahembot,2,2022-07-01T00:00:00.000Z,32010,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
MaraBot,3,2022-07-01T00:00:00.000Z,4755,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Dušan Kreheľ (bot),4,2022-07-01T00:00:00.000Z,4273,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
SHBot,5,2022-07-01T00:00:00.000Z,1675,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
MenoBot,6,2022-07-01T00:00:00.000Z,1525,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
InternetArchiveBot,7,2022-07-01T00:00:00.000Z,1316,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
EmausBot,8,2022-07-01T00:00:00.000Z,789,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
CommonsDelinker,9,2022-07-01T00:00:00.000Z,252,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Xqbot,10,2022-07-01T00:00:00.000Z,40,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
YiFeiBot,11,2022-07-01T00:00:00.000Z,7,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
