page_title,rank,timestamp,total.total,month,timeRange.start,timeRange.end
كاس_إفريقيا_د_لكورة_د_لعيالات_2022,1,2022-07-01T00:00:00.000Z,127,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Template:كاس_إفريقيا_د_لكورة_د_لعيالات_2022_ݣروپات,2,2022-07-01T00:00:00.000Z,40,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Template:تضمين_ديال_ترتيب_د_لكتاتبيا_ف_صفحة_لولة,3,2022-07-01T00:00:00.000Z,32,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
فيدجي,4,2022-07-01T00:00:00.000Z,30,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
كتب_داريجة,5,2022-07-01T00:00:00.000Z,15,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
كاس_ؤروپا_د_لكورة_د_لعيالات_2022,6,2022-07-01T00:00:00.000Z,14,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
وضعية_تاع_لكلب,7,2022-07-01T00:00:00.000Z,14,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Project:ميزان_لكلام,8,2022-07-01T00:00:00.000Z,14,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
طارق_داودة,9,2022-07-01T00:00:00.000Z,13,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
غتيال_ديال_شينزو_أبي,10,2022-07-01T00:00:00.000Z,13,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
لمغارة_د_هرقول,11,2022-07-01T00:00:00.000Z,13,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Template:حساب_د_لمقالات_د_لمغريب,12,2022-07-01T00:00:00.000Z,13,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
لأشابة_د_لقانون,13,2022-07-01T00:00:00.000Z,13,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Template:معلومات_تورنوا_عالمي,14,2022-07-01T00:00:00.000Z,12,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
لبطل_د_لأزمان,15,2022-07-01T00:00:00.000Z,12,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
عبد_الكريم_الماحي,16,2022-07-01T00:00:00.000Z,12,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
روزيلا_أيان,17,2022-07-01T00:00:00.000Z,11,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
قاسم_لغزالي,18,2022-07-01T00:00:00.000Z,11,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
كوريپوس,19,2022-07-01T00:00:00.000Z,11,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
شينزو_أبي,20,2022-07-01T00:00:00.000Z,11,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
وليلي_(مدينة_قديمة),21,2022-07-01T00:00:00.000Z,11,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Template:لخبار_ديال_الصفحة_اللولا,22,2022-07-01T00:00:00.000Z,10,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
وضعية_د_السيكس_بجنب,23,2022-07-01T00:00:00.000Z,10,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
عبد_الله_لحسايني,24,2022-07-01T00:00:00.000Z,9,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
لأزمة_د_أڭادير_1911,25,2022-07-01T00:00:00.000Z,9,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
ݣعيد_على_الوجه,26,2022-07-01T00:00:00.000Z,9,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Project:لأهداف,27,2022-07-01T00:00:00.000Z,9,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
لإمبراطورية_لخرانية,28,2022-07-01T00:00:00.000Z,9,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
فاطمة_تڭناوت,29,2022-07-01T00:00:00.000Z,8,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
