page_title,rank,timestamp,total.total,month,timeRange.start,timeRange.end
نادي_الهلال_السعودي_موسم_2022–23,1,2022-07-01T00:00:00.000Z,203,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
وفيات_2022,2,2022-07-01T00:00:00.000Z,193,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
نادي_الهلال_السعودي_موسم_2021–22,3,2022-07-01T00:00:00.000Z,191,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
قائمة_العلاوات_الخاصة_(مصر),4,2022-07-01T00:00:00.000Z,157,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
مترو_القاهرة,5,2022-07-01T00:00:00.000Z,142,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
معركة_نيقوبوليس,6,2022-07-01T00:00:00.000Z,108,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
ابن_خلدون,7,2022-07-01T00:00:00.000Z,107,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
نادي_الوحدة_(سوريا),8,2022-07-01T00:00:00.000Z,90,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
قائمة_محطات_مترو_القاهرة,9,2022-07-01T00:00:00.000Z,89,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
حسن_البنا,10,2022-07-01T00:00:00.000Z,83,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
الدوري_السوري_الممتاز,11,2022-07-01T00:00:00.000Z,71,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
كأس_العرب_للمنتخبات_تحت_20_سنة_2022,12,2022-07-01T00:00:00.000Z,66,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
الاستفتاء_الدستوري_التونسي_2022,13,2022-07-01T00:00:00.000Z,64,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
مشاري_النمر,14,2022-07-01T00:00:00.000Z,64,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
كوكا_كولا,15,2022-07-01T00:00:00.000Z,60,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
