user_text,rank,timestamp,total.total,month,timeRange.start,timeRange.end
Ser Amantio di Nicolao,1,2022-07-01T00:00:00.000Z,149726,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Jevansen,2,2022-07-01T00:00:00.000Z,83498,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Simeon,3,2022-07-01T00:00:00.000Z,21845,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Bearcat,4,2022-07-01T00:00:00.000Z,15662,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Liz,5,2022-07-01T00:00:00.000Z,15516,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
BD2412,6,2022-07-01T00:00:00.000Z,15162,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
BrownHairedGirl,7,2022-07-01T00:00:00.000Z,14532,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Hey man im josh,8,2022-07-01T00:00:00.000Z,13224,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Tassedethe,9,2022-07-01T00:00:00.000Z,12122,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Missvain,10,2022-07-01T00:00:00.000Z,11699,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Lugnuts,11,2022-07-01T00:00:00.000Z,11523,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Geregen2,12,2022-07-01T00:00:00.000Z,11273,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Crowsus,13,2022-07-01T00:00:00.000Z,11233,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Rodw,14,2022-07-01T00:00:00.000Z,11220,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Red Director,15,2022-07-01T00:00:00.000Z,11017,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Rathfelder,16,2022-07-01T00:00:00.000Z,10341,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Johnsoniensis,17,2022-07-01T00:00:00.000Z,8175,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Lepricavark,18,2022-07-01T00:00:00.000Z,8122,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Chongkian,19,2022-07-01T00:00:00.000Z,7873,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
FMSky,20,2022-07-01T00:00:00.000Z,7783,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Debartolo2917,21,2022-07-01T00:00:00.000Z,6971,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Smasongarrison,22,2022-07-01T00:00:00.000Z,6763,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Saksapoiss,23,2022-07-01T00:00:00.000Z,6494,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Gaois,24,2022-07-01T00:00:00.000Z,6422,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Vanisaac,25,2022-07-01T00:00:00.000Z,6285,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Thrakkx,26,2022-07-01T00:00:00.000Z,6259,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
INS Pirat,27,2022-07-01T00:00:00.000Z,6175,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Scorpions13256,28,2022-07-01T00:00:00.000Z,6173,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
GoodDay,29,2022-07-01T00:00:00.000Z,6159,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Venkat TL,30,2022-07-01T00:00:00.000Z,6114,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Chris the speller,31,2022-07-01T00:00:00.000Z,5868,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Minorax,32,2022-07-01T00:00:00.000Z,5858,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Dimadick,33,2022-07-01T00:00:00.000Z,5824,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Ss112,34,2022-07-01T00:00:00.000Z,5757,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Danielsltt,35,2022-07-01T00:00:00.000Z,5685,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Headbomb,36,2022-07-01T00:00:00.000Z,5423,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Explicit,37,2022-07-01T00:00:00.000Z,5341,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Adakiko,38,2022-07-01T00:00:00.000Z,5300,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Kailash29792,39,2022-07-01T00:00:00.000Z,5224,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Shellwood,40,2022-07-01T00:00:00.000Z,5101,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
WhisperToMe,41,2022-07-01T00:00:00.000Z,5057,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Praxidicae,42,2022-07-01T00:00:00.000Z,5056,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Lord Cornwallis,43,2022-07-01T00:00:00.000Z,5009,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Arjayay,44,2022-07-01T00:00:00.000Z,4992,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Ira Leviton,45,2022-07-01T00:00:00.000Z,4967,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
ThadeusOfNazereth,46,2022-07-01T00:00:00.000Z,4854,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Qwerfjkl,47,2022-07-01T00:00:00.000Z,4783,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Serols,48,2022-07-01T00:00:00.000Z,4656,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
