user_text,rank,timestamp,total.total,month,timeRange.start,timeRange.end
Citation bot,1,2022-07-01T00:00:00.000Z,65566,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
InternetArchiveBot,2,2022-07-01T00:00:00.000Z,37157,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
AnomieBOT,3,2022-07-01T00:00:00.000Z,18147,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Qwerfjkl (bot),4,2022-07-01T00:00:00.000Z,15482,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
JJMC89 bot III,5,2022-07-01T00:00:00.000Z,14907,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
WikiCleanerBot,6,2022-07-01T00:00:00.000Z,13462,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
GreenC bot,7,2022-07-01T00:00:00.000Z,12365,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
BattyBot,8,2022-07-01T00:00:00.000Z,7727,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
EmausBot,9,2022-07-01T00:00:00.000Z,7143,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Xqbot,10,2022-07-01T00:00:00.000Z,6117,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Cewbot,11,2022-07-01T00:00:00.000Z,4803,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
RMCD bot,12,2022-07-01T00:00:00.000Z,3662,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
JCW-CleanerBot,13,2022-07-01T00:00:00.000Z,2802,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
CommonsDelinker,14,2022-07-01T00:00:00.000Z,2386,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
MalnadachBot,15,2022-07-01T00:00:00.000Z,1882,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Filedelinkerbot,16,2022-07-01T00:00:00.000Z,1846,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
SdkbBot,17,2022-07-01T00:00:00.000Z,1770,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
SporkBot,18,2022-07-01T00:00:00.000Z,1699,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
MusikBot II,19,2022-07-01T00:00:00.000Z,1671,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
ClueBot NG,20,2022-07-01T00:00:00.000Z,1564,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
JJMC89 bot,21,2022-07-01T00:00:00.000Z,923,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
RussBot,22,2022-07-01T00:00:00.000Z,878,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Bender the Bot,23,2022-07-01T00:00:00.000Z,661,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
