user_text,rank,timestamp,total.total,month,timeRange.start,timeRange.end
FShbib,1,2022-07-01T00:00:00.000Z,1330,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
محمد أحمد عبد الفتاح,2,2022-07-01T00:00:00.000Z,1229,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
جار الله,3,2022-07-01T00:00:00.000Z,1086,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Michel Bakni,4,2022-07-01T00:00:00.000Z,837,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Mr.Karhi,5,2022-07-01T00:00:00.000Z,811,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
حسن علي البط,6,2022-07-01T00:00:00.000Z,810,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
أبو هشام,7,2022-07-01T00:00:00.000Z,721,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Mr. Ibrahem,8,2022-07-01T00:00:00.000Z,712,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Karim185.3,9,2022-07-01T00:00:00.000Z,511,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Dr-Taher,10,2022-07-01T00:00:00.000Z,432,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Muatsem90,11,2022-07-01T00:00:00.000Z,401,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
AbduMM11,12,2022-07-01T00:00:00.000Z,373,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
فيصل,13,2022-07-01T00:00:00.000Z,368,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
