user_text,rank,timestamp,total.total,month,timeRange.start,timeRange.end
Jevansen,1,2022-07-01T00:00:00.000Z,71908,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Liz,2,2022-07-01T00:00:00.000Z,11608,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Johnsoniensis,3,2022-07-01T00:00:00.000Z,7791,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Missvain,4,2022-07-01T00:00:00.000Z,7266,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Hey man im josh,5,2022-07-01T00:00:00.000Z,7104,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Chongkian,6,2022-07-01T00:00:00.000Z,6822,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Minorax,7,2022-07-01T00:00:00.000Z,5345,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Shellwood,8,2022-07-01T00:00:00.000Z,5089,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
BD2412,9,2022-07-01T00:00:00.000Z,4842,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Lepricavark,10,2022-07-01T00:00:00.000Z,4241,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Qwerfjkl,11,2022-07-01T00:00:00.000Z,3926,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Geregen2,12,2022-07-01T00:00:00.000Z,3859,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Danielsltt,13,2022-07-01T00:00:00.000Z,3800,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Praxidicae,14,2022-07-01T00:00:00.000Z,3489,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Ser Amantio di Nicolao,15,2022-07-01T00:00:00.000Z,3379,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Harryboyles,16,2022-07-01T00:00:00.000Z,3104,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Wizardman,17,2022-07-01T00:00:00.000Z,3023,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Esculenta,18,2022-07-01T00:00:00.000Z,2947,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Adakiko,19,2022-07-01T00:00:00.000Z,2546,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Gaois,20,2022-07-01T00:00:00.000Z,2522,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Stephencdickson,21,2022-07-01T00:00:00.000Z,2487,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Dimadick,22,2022-07-01T00:00:00.000Z,2480,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Dsuke1998AEOS,23,2022-07-01T00:00:00.000Z,2477,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Rfl0216,24,2022-07-01T00:00:00.000Z,2449,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Safeguarding,25,2022-07-01T00:00:00.000Z,2418,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Ingenuity,26,2022-07-01T00:00:00.000Z,2352,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
SandyGeorgia,27,2022-07-01T00:00:00.000Z,2323,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
PhantomTech,28,2022-07-01T00:00:00.000Z,2304,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
JPxG,29,2022-07-01T00:00:00.000Z,2277,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Theroadislong,30,2022-07-01T00:00:00.000Z,2247,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Explicit,31,2022-07-01T00:00:00.000Z,2247,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Ipigott,32,2022-07-01T00:00:00.000Z,2217,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Jonesey95,33,2022-07-01T00:00:00.000Z,2210,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Serols,34,2022-07-01T00:00:00.000Z,2160,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Girth Summit,35,2022-07-01T00:00:00.000Z,2129,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Debartolo2917,36,2022-07-01T00:00:00.000Z,2063,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Venkat TL,37,2022-07-01T00:00:00.000Z,2038,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Kerry Raymond,38,2022-07-01T00:00:00.000Z,1972,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Spiderone,39,2022-07-01T00:00:00.000Z,1884,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
FloridaArmy,40,2022-07-01T00:00:00.000Z,1862,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Mellohi!,41,2022-07-01T00:00:00.000Z,1844,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Nythar,42,2022-07-01T00:00:00.000Z,1833,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Gasforth-2021,43,2022-07-01T00:00:00.000Z,1822,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
KylieTastic,44,2022-07-01T00:00:00.000Z,1817,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Another Believer,45,2022-07-01T00:00:00.000Z,1799,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
MaranoFan,46,2022-07-01T00:00:00.000Z,1795,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
MPGuy2824,47,2022-07-01T00:00:00.000Z,1727,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Catfurball,48,2022-07-01T00:00:00.000Z,1721,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Tomas e,49,2022-07-01T00:00:00.000Z,1710,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
SunDawn,50,2022-07-01T00:00:00.000Z,1634,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Fayenatic london,51,2022-07-01T00:00:00.000Z,1616,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
GoodDay,52,2022-07-01T00:00:00.000Z,1606,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Curbon7,53,2022-07-01T00:00:00.000Z,1595,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Sportsfan 1234,54,2022-07-01T00:00:00.000Z,1589,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Gonnym,55,2022-07-01T00:00:00.000Z,1576,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Kj cheetham,56,2022-07-01T00:00:00.000Z,1568,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Andrevan,57,2022-07-01T00:00:00.000Z,1564,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Robby,58,2022-07-01T00:00:00.000Z,1557,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Sanglahi86,59,2022-07-01T00:00:00.000Z,1551,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Aoidh,60,2022-07-01T00:00:00.000Z,1543,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Hugo999,61,2022-07-01T00:00:00.000Z,1540,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
DanCherek,62,2022-07-01T00:00:00.000Z,1536,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
GenQuest,63,2022-07-01T00:00:00.000Z,1532,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Tamzin,64,2022-07-01T00:00:00.000Z,1525,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Marcocapelle,65,2022-07-01T00:00:00.000Z,1520,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Gerda Arendt,66,2022-07-01T00:00:00.000Z,1512,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
খাঁটি বাঙালি,67,2022-07-01T00:00:00.000Z,1495,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
WQUlrich,68,2022-07-01T00:00:00.000Z,1487,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Mccapra,69,2022-07-01T00:00:00.000Z,1438,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
