user_text,rank,timestamp,total.total,month,timeRange.start,timeRange.end
MalnadachBot,1,2022-07-01T00:00:00.000Z,814953,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
WP 1.0 bot,2,2022-07-01T00:00:00.000Z,74343,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Jevansen,3,2022-07-01T00:00:00.000Z,71908,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
PrimeBOT,4,2022-07-01T00:00:00.000Z,36582,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
AAlertBot,5,2022-07-01T00:00:00.000Z,29393,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
InceptionBot,6,2022-07-01T00:00:00.000Z,20802,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Lowercase sigmabot III,7,2022-07-01T00:00:00.000Z,17504,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
AnomieBOT,8,2022-07-01T00:00:00.000Z,16888,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
DeltaQuadBot,9,2022-07-01T00:00:00.000Z,12615,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
MediaWiki message delivery,10,2022-07-01T00:00:00.000Z,12173,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Liz,11,2022-07-01T00:00:00.000Z,11608,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
SDZeroBot,12,2022-07-01T00:00:00.000Z,10441,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
RMCD bot,13,2022-07-01T00:00:00.000Z,9280,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
DatBot,14,2022-07-01T00:00:00.000Z,9087,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
ClueBot III,15,2022-07-01T00:00:00.000Z,8179,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Cyberbot I,16,2022-07-01T00:00:00.000Z,7813,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Johnsoniensis,17,2022-07-01T00:00:00.000Z,7791,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Missvain,18,2022-07-01T00:00:00.000Z,7266,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Hey man im josh,19,2022-07-01T00:00:00.000Z,7104,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Chongkian,20,2022-07-01T00:00:00.000Z,6822,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
FireflyBot,21,2022-07-01T00:00:00.000Z,6801,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Legobot,22,2022-07-01T00:00:00.000Z,6396,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
HooptyBot,23,2022-07-01T00:00:00.000Z,6061,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
WOSlinkerBot,24,2022-07-01T00:00:00.000Z,5896,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Minorax,25,2022-07-01T00:00:00.000Z,5345,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
HBC AIV helperbot5,26,2022-07-01T00:00:00.000Z,5294,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Shellwood,27,2022-07-01T00:00:00.000Z,5089,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
COIBot,28,2022-07-01T00:00:00.000Z,4991,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
JL-Bot,29,2022-07-01T00:00:00.000Z,4887,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
JJMC89 bot III,30,2022-07-01T00:00:00.000Z,4848,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
BD2412,31,2022-07-01T00:00:00.000Z,4842,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
BattyBot,32,2022-07-01T00:00:00.000Z,4675,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Community Tech bot,33,2022-07-01T00:00:00.000Z,4416,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Lepricavark,34,2022-07-01T00:00:00.000Z,4241,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Qwerfjkl,35,2022-07-01T00:00:00.000Z,3926,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Geregen2,36,2022-07-01T00:00:00.000Z,3859,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Danielsltt,37,2022-07-01T00:00:00.000Z,3800,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
HotArticlesBot,38,2022-07-01T00:00:00.000Z,3743,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
JJMC89 bot,39,2022-07-01T00:00:00.000Z,3641,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Praxidicae,40,2022-07-01T00:00:00.000Z,3489,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Ser Amantio di Nicolao,41,2022-07-01T00:00:00.000Z,3379,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Reports bot,42,2022-07-01T00:00:00.000Z,3344,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Harryboyles,43,2022-07-01T00:00:00.000Z,3104,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Wizardman,44,2022-07-01T00:00:00.000Z,3023,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Esculenta,45,2022-07-01T00:00:00.000Z,2947,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Bot1058,46,2022-07-01T00:00:00.000Z,2908,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
B-bot,47,2022-07-01T00:00:00.000Z,2835,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
DannyS712 bot III,48,2022-07-01T00:00:00.000Z,2770,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
SineBot,49,2022-07-01T00:00:00.000Z,2551,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Adakiko,50,2022-07-01T00:00:00.000Z,2546,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Gaois,51,2022-07-01T00:00:00.000Z,2522,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
EarwigBot,52,2022-07-01T00:00:00.000Z,2500,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Stephencdickson,53,2022-07-01T00:00:00.000Z,2487,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Dimadick,54,2022-07-01T00:00:00.000Z,2480,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Dsuke1998AEOS,55,2022-07-01T00:00:00.000Z,2477,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Rfl0216,56,2022-07-01T00:00:00.000Z,2449,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Safeguarding,57,2022-07-01T00:00:00.000Z,2418,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
DPL bot,58,2022-07-01T00:00:00.000Z,2361,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Ingenuity,59,2022-07-01T00:00:00.000Z,2352,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
SandyGeorgia,60,2022-07-01T00:00:00.000Z,2323,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
PhantomTech,61,2022-07-01T00:00:00.000Z,2304,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
JPxG,62,2022-07-01T00:00:00.000Z,2277,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Explicit,63,2022-07-01T00:00:00.000Z,2247,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Theroadislong,64,2022-07-01T00:00:00.000Z,2247,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Ipigott,65,2022-07-01T00:00:00.000Z,2217,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Jonesey95,66,2022-07-01T00:00:00.000Z,2210,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Serols,67,2022-07-01T00:00:00.000Z,2160,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Girth Summit,68,2022-07-01T00:00:00.000Z,2129,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Cewbot,69,2022-07-01T00:00:00.000Z,2110,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Debartolo2917,70,2022-07-01T00:00:00.000Z,2063,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Venkat TL,71,2022-07-01T00:00:00.000Z,2038,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Kerry Raymond,72,2022-07-01T00:00:00.000Z,1972,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
SuggestBot,73,2022-07-01T00:00:00.000Z,1955,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Mz7 (bot),74,2022-07-01T00:00:00.000Z,1892,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Spiderone,75,2022-07-01T00:00:00.000Z,1884,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
FloridaArmy,76,2022-07-01T00:00:00.000Z,1862,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Mellohi!,77,2022-07-01T00:00:00.000Z,1844,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Nythar,78,2022-07-01T00:00:00.000Z,1833,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Gasforth-2021,79,2022-07-01T00:00:00.000Z,1822,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
KylieTastic,80,2022-07-01T00:00:00.000Z,1817,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Another Believer,81,2022-07-01T00:00:00.000Z,1799,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
MaranoFan,82,2022-07-01T00:00:00.000Z,1795,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Yapperbot,83,2022-07-01T00:00:00.000Z,1748,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
MPGuy2824,84,2022-07-01T00:00:00.000Z,1727,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Xqbot,85,2022-07-01T00:00:00.000Z,1724,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Catfurball,86,2022-07-01T00:00:00.000Z,1721,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Tomas e,87,2022-07-01T00:00:00.000Z,1710,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
EmausBot,88,2022-07-01T00:00:00.000Z,1689,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
SunDawn,89,2022-07-01T00:00:00.000Z,1634,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Fayenatic london,90,2022-07-01T00:00:00.000Z,1616,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
GoodDay,91,2022-07-01T00:00:00.000Z,1606,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Curbon7,92,2022-07-01T00:00:00.000Z,1595,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Sportsfan 1234,93,2022-07-01T00:00:00.000Z,1589,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Gonnym,94,2022-07-01T00:00:00.000Z,1576,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Kj cheetham,95,2022-07-01T00:00:00.000Z,1568,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Andrevan,96,2022-07-01T00:00:00.000Z,1564,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Robby,97,2022-07-01T00:00:00.000Z,1557,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Sanglahi86,98,2022-07-01T00:00:00.000Z,1551,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Aoidh,99,2022-07-01T00:00:00.000Z,1543,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Hugo999,100,2022-07-01T00:00:00.000Z,1540,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
