month,total.total,timeRange.start,timeRange.end
2001-01-01T00:00:00.000Z,65,2001-01-01T00:00:00.000Z,2001-02-01T00:00:00.000Z
2001-02-01T00:00:00.000Z,226,2001-02-01T00:00:00.000Z,2001-03-01T00:00:00.000Z
2001-03-01T00:00:00.000Z,749,2001-03-01T00:00:00.000Z,2001-04-01T00:00:00.000Z
2001-04-01T00:00:00.000Z,1362,2001-04-01T00:00:00.000Z,2001-05-01T00:00:00.000Z
2001-05-01T00:00:00.000Z,2653,2001-05-01T00:00:00.000Z,2001-06-01T00:00:00.000Z
2001-06-01T00:00:00.000Z,3137,2001-06-01T00:00:00.000Z,2001-07-01T00:00:00.000Z
2001-07-01T00:00:00.000Z,4128,2001-07-01T00:00:00.000Z,2001-08-01T00:00:00.000Z
2001-08-01T00:00:00.000Z,6004,2001-08-01T00:00:00.000Z,2001-09-01T00:00:00.000Z
2001-09-01T00:00:00.000Z,9219,2001-09-01T00:00:00.000Z,2001-10-01T00:00:00.000Z
2001-10-01T00:00:00.000Z,14327,2001-10-01T00:00:00.000Z,2001-11-01T00:00:00.000Z
2001-11-01T00:00:00.000Z,17830,2001-11-01T00:00:00.000Z,2001-12-01T00:00:00.000Z
2001-12-01T00:00:00.000Z,20245,2001-12-01T00:00:00.000Z,2002-01-01T00:00:00.000Z
2002-01-01T00:00:00.000Z,22074,2002-01-01T00:00:00.000Z,2002-02-01T00:00:00.000Z
2002-02-01T00:00:00.000Z,29929,2002-02-01T00:00:00.000Z,2002-03-01T00:00:00.000Z
2002-03-01T00:00:00.000Z,33077,2002-03-01T00:00:00.000Z,2002-04-01T00:00:00.000Z
2002-04-01T00:00:00.000Z,35484,2002-04-01T00:00:00.000Z,2002-05-01T00:00:00.000Z
2002-05-01T00:00:00.000Z,37519,2002-05-01T00:00:00.000Z,2002-06-01T00:00:00.000Z
2002-06-01T00:00:00.000Z,40882,2002-06-01T00:00:00.000Z,2002-07-01T00:00:00.000Z
2002-07-01T00:00:00.000Z,44358,2002-07-01T00:00:00.000Z,2002-08-01T00:00:00.000Z
2002-08-01T00:00:00.000Z,50286,2002-08-01T00:00:00.000Z,2002-09-01T00:00:00.000Z
2002-09-01T00:00:00.000Z,61553,2002-09-01T00:00:00.000Z,2002-10-01T00:00:00.000Z
2002-10-01T00:00:00.000Z,101451,2002-10-01T00:00:00.000Z,2002-11-01T00:00:00.000Z
2002-11-01T00:00:00.000Z,107886,2002-11-01T00:00:00.000Z,2002-12-01T00:00:00.000Z
2002-12-01T00:00:00.000Z,113649,2002-12-01T00:00:00.000Z,2003-01-01T00:00:00.000Z
2003-01-01T00:00:00.000Z,121691,2003-01-01T00:00:00.000Z,2003-02-01T00:00:00.000Z
2003-02-01T00:00:00.000Z,128432,2003-02-01T00:00:00.000Z,2003-03-01T00:00:00.000Z
2003-03-01T00:00:00.000Z,135558,2003-03-01T00:00:00.000Z,2003-04-01T00:00:00.000Z
2003-04-01T00:00:00.000Z,142724,2003-04-01T00:00:00.000Z,2003-05-01T00:00:00.000Z
2003-05-01T00:00:00.000Z,151513,2003-05-01T00:00:00.000Z,2003-06-01T00:00:00.000Z
2003-06-01T00:00:00.000Z,160062,2003-06-01T00:00:00.000Z,2003-07-01T00:00:00.000Z
