page_title,rank,timestamp,total.total,month,timeRange.start,timeRange.end
Talk:وادي_الكهوف_القديمة_في_الكرمل,1,2022-07-01T00:00:00.000Z,684,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
آرني_نوفاك,2,2022-07-01T00:00:00.000Z,255,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
حياة_أرسينيف,3,2022-07-01T00:00:00.000Z,222,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
غابور_ماتي,4,2022-07-01T00:00:00.000Z,207,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
حياة_ديفيد_جيل_(فيلم),5,2022-07-01T00:00:00.000Z,194,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
المسيحية_في_الكويت,6,2022-07-01T00:00:00.000Z,173,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
بروغريس_إم_1-5,7,2022-07-01T00:00:00.000Z,162,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
إذاعة_وتلفزيون_البرتغال,8,2022-07-01T00:00:00.000Z,146,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
إكسدس_(رواية),9,2022-07-01T00:00:00.000Z,144,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
سوكيياكي,10,2022-07-01T00:00:00.000Z,139,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
الحد_الاخير_(مسلسل),11,2022-07-01T00:00:00.000Z,126,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
وسام_القديس_أولاف,12,2022-07-01T00:00:00.000Z,125,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
.pro,13,2022-07-01T00:00:00.000Z,125,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
فيف_الريح,14,2022-07-01T00:00:00.000Z,122,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
النظام_الإلكتروني_لتصاريح_السفر_(الولايات_المتحدة_الأمريكية),15,2022-07-01T00:00:00.000Z,117,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
قائمة_الاختراعات_والاكتشافات_الصينية,16,2022-07-01T00:00:00.000Z,117,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
المحامية_الغريبة_يونغ_وو,17,2022-07-01T00:00:00.000Z,117,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
وفيات_2022,18,2022-07-01T00:00:00.000Z,117,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
الأنهار_الجليدية_على_المريخ,19,2022-07-01T00:00:00.000Z,107,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
كريستيان_ليوبولد_فون_بوخ,20,2022-07-01T00:00:00.000Z,106,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
التقرير_(فيلم_1977),21,2022-07-01T00:00:00.000Z,105,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
معركة_برلين,22,2022-07-01T00:00:00.000Z,94,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
إبراز_المعاني,23,2022-07-01T00:00:00.000Z,93,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
كلية_موسكو_العسكرية_للموسيقى,24,2022-07-01T00:00:00.000Z,92,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
أشياء_غريبة,25,2022-07-01T00:00:00.000Z,92,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
المسيحية_في_هولندا,26,2022-07-01T00:00:00.000Z,90,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
المسيحية_في_المجر,27,2022-07-01T00:00:00.000Z,87,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
المسيحية_في_إيران,28,2022-07-01T00:00:00.000Z,86,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
المسيحية_في_سلوفاكيا,29,2022-07-01T00:00:00.000Z,86,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
المسيحية_في_إيطاليا,30,2022-07-01T00:00:00.000Z,82,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
المسيحية_في_أذربيجان,31,2022-07-01T00:00:00.000Z,82,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
المسيحية_في_باكستان,32,2022-07-01T00:00:00.000Z,81,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
المسيحية_في_هونغ_كونغ,33,2022-07-01T00:00:00.000Z,79,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
عملية_إتشي-جو,34,2022-07-01T00:00:00.000Z,78,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
قدماء_الفينيتو,35,2022-07-01T00:00:00.000Z,78,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
ثري_جي_بي_بي_2,36,2022-07-01T00:00:00.000Z,73,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
مراد_سبيع,37,2022-07-01T00:00:00.000Z,72,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
حزب_التحرير,38,2022-07-01T00:00:00.000Z,71,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
قائمة_الأودية_في_السعودية,39,2022-07-01T00:00:00.000Z,71,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
المسيحية_في_كوريا_الجنوبية,40,2022-07-01T00:00:00.000Z,70,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
إلغاء_الهند_وضع_جامو_وكشمير_الخاص,41,2022-07-01T00:00:00.000Z,69,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
عرابة_(البطوف),42,2022-07-01T00:00:00.000Z,69,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
المسيحية_في_الهند,43,2022-07-01T00:00:00.000Z,67,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
غزوة_أحد,44,2022-07-01T00:00:00.000Z,67,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
يوسف_ستالين,45,2022-07-01T00:00:00.000Z,67,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Talk:إستر_ليفيت,46,2022-07-01T00:00:00.000Z,66,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
المسيحية_في_المكسيك,47,2022-07-01T00:00:00.000Z,66,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
المسيحية_في_اليمن,48,2022-07-01T00:00:00.000Z,65,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
النقابة_العامة_للسيارات_(السعودية),49,2022-07-01T00:00:00.000Z,65,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
كفر_عقب,50,2022-07-01T00:00:00.000Z,65,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
المسيحية_في_سنغافورة,51,2022-07-01T00:00:00.000Z,62,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Project:إحصاءات/المستخدمين_حسب_عدد_إنشاء_المقالات_(متضمنة_البوتات),52,2022-07-01T00:00:00.000Z,61,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
المسيحية_في_اليابان,53,2022-07-01T00:00:00.000Z,61,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
مسرح_لوكسمبورغ_الكبير,54,2022-07-01T00:00:00.000Z,61,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Project:إحصاءات/المستخدمين_حسب_عدد_إنشاء_التحويلات_(متضمنة_البوتات),55,2022-07-01T00:00:00.000Z,60,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
المسيحية_في_الجزائر,56,2022-07-01T00:00:00.000Z,59,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Project:إحصاءات/المستخدمين_حسب_عدد_إنشاء_الصفحات,57,2022-07-01T00:00:00.000Z,58,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
ألتراس_وينرز,58,2022-07-01T00:00:00.000Z,58,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
ألعاب_البحر_الأبيض_المتوسط_2022,59,2022-07-01T00:00:00.000Z,57,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
ايفيلين_فورتش,60,2022-07-01T00:00:00.000Z,57,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
سكانيا_(شركة),61,2022-07-01T00:00:00.000Z,57,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
الأجنحة_المنكسرة_(فيلم),62,2022-07-01T00:00:00.000Z,56,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
نادي_ليفربول,63,2022-07-01T00:00:00.000Z,53,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
شركة_سابر,64,2022-07-01T00:00:00.000Z,52,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
فضيحة_كرة_القدم_الماليزية_1994,65,2022-07-01T00:00:00.000Z,51,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
