page_title,rank,timestamp,total.total,month,timeRange.start,timeRange.end
Project:إخطار_الإداريين/استرجاع/الحالية,1,2022-07-01T00:00:00.000Z,448,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Project:طلبات_مراجعة_المقالات,2,2022-07-01T00:00:00.000Z,430,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Project:طلبات_مراجعة_التعديلات,3,2022-07-01T00:00:00.000Z,361,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Project:طلبات_النقل/الحالية,4,2022-07-01T00:00:00.000Z,288,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Project:طلبات_رفع_صور,5,2022-07-01T00:00:00.000Z,204,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
نادي_الهلال_السعودي_موسم_2022–23,6,2022-07-01T00:00:00.000Z,203,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
وفيات_2022,7,2022-07-01T00:00:00.000Z,193,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
نادي_الهلال_السعودي_موسم_2021–22,8,2022-07-01T00:00:00.000Z,191,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
User:Mr.Karhi/ملعب7,9,2022-07-01T00:00:00.000Z,185,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Project:تغيير_اسم_المستخدم/طلبات_تغيير,10,2022-07-01T00:00:00.000Z,173,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
User:Mr.Karhi/ملعب13,11,2022-07-01T00:00:00.000Z,165,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
قائمة_العلاوات_الخاصة_(مصر),12,2022-07-01T00:00:00.000Z,157,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
مترو_القاهرة,13,2022-07-01T00:00:00.000Z,142,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
User talk:Nehaoua,14,2022-07-01T00:00:00.000Z,136,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
User:Michel_Bakni/ملعب,15,2022-07-01T00:00:00.000Z,126,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
User talk:جار_الله,16,2022-07-01T00:00:00.000Z,110,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
معركة_نيقوبوليس,17,2022-07-01T00:00:00.000Z,108,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
ابن_خلدون,18,2022-07-01T00:00:00.000Z,107,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Project:طلبات_نقل_التصنيفات,19,2022-07-01T00:00:00.000Z,104,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
User:Mr.Karhi/ملعب8,20,2022-07-01T00:00:00.000Z,99,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
User:Mr.Karhi/ملعب6,21,2022-07-01T00:00:00.000Z,97,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Project:طلبات_صلاحيات/إعطاء,22,2022-07-01T00:00:00.000Z,94,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
User:وليدالصكر/ملعب,23,2022-07-01T00:00:00.000Z,92,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
نادي_الوحدة_(سوريا),24,2022-07-01T00:00:00.000Z,90,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
User:يحيى_بن_علي/ملعب6,25,2022-07-01T00:00:00.000Z,90,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
قائمة_محطات_مترو_القاهرة,26,2022-07-01T00:00:00.000Z,89,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
