page_title,rank,timestamp,total.total,month,timeRange.start,timeRange.end
Talk:وادي_الكهوف_القديمة_في_الكرمل,1,2022-07-01T00:00:00.000Z,684,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Project:إخطار_الإداريين/استرجاع/الحالية,2,2022-07-01T00:00:00.000Z,479,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Project:طلبات_مراجعة_المقالات,3,2022-07-01T00:00:00.000Z,460,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Project:طلبات_مراجعة_التعديلات,4,2022-07-01T00:00:00.000Z,384,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Project:طلبات_النقل/الحالية,5,2022-07-01T00:00:00.000Z,320,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
وفيات_2022,6,2022-07-01T00:00:00.000Z,310,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
آرني_نوفاك,7,2022-07-01T00:00:00.000Z,255,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
حياة_أرسينيف,8,2022-07-01T00:00:00.000Z,231,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Project:طلبات_رفع_صور,9,2022-07-01T00:00:00.000Z,224,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
نادي_الهلال_السعودي_موسم_2022–23,10,2022-07-01T00:00:00.000Z,215,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
نادي_الهلال_السعودي_موسم_2021–22,11,2022-07-01T00:00:00.000Z,207,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
حياة_ديفيد_جيل_(فيلم),12,2022-07-01T00:00:00.000Z,206,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
