page_title,rank,timestamp,total.total,month,timeRange.start,timeRange.end
Project:Administrator_intervention_against_vandalism,1,2022-07-01T00:00:00.000Z,7026,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
User:AmandaNP/UAA/Time,2,2022-07-01T00:00:00.000Z,4458,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Project:Administrators'_noticeboard/Incidents,3,2022-07-01T00:00:00.000Z,4017,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Project:Requests_for_page_protection/Increase,4,2022-07-01T00:00:00.000Z,3635,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Project:Usernames_for_administrator_attention,5,2022-07-01T00:00:00.000Z,3056,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Project:Teahouse,6,2022-07-01T00:00:00.000Z,3018,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
User:JPxG/Oracle,7,2022-07-01T00:00:00.000Z,2947,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
User:JPxG/Oracle/2022-07,8,2022-07-01T00:00:00.000Z,2945,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Project:In_the_news/Candidates,9,2022-07-01T00:00:00.000Z,2827,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
User:DannyS712_bot_III/Redirects.json,10,2022-07-01T00:00:00.000Z,2770,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Project:Requested_moves/Current_discussions_(table),11,2022-07-01T00:00:00.000Z,2516,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
User:Stephencdickson/sandbox,12,2022-07-01T00:00:00.000Z,2410,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Assassination_of_Shinzo_Abe,13,2022-07-01T00:00:00.000Z,2345,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
2022_Conservative_Party_leadership_election_(UK),14,2022-07-01T00:00:00.000Z,2152,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
User:DatBot/pendingbacklog,15,2022-07-01T00:00:00.000Z,2143,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Deaths_in_2022,16,2022-07-01T00:00:00.000Z,2132,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Project:Administrator_intervention_against_vandalism/TB2,17,2022-07-01T00:00:00.000Z,2099,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Project:Sandbox,18,2022-07-01T00:00:00.000Z,2008,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Project:Sockpuppet_investigations/SPI/Cases,19,2022-07-01T00:00:00.000Z,1892,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
User:AmandaNP/SPI_case_list,20,2022-07-01T00:00:00.000Z,1875,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
User:AnomieBOT/SPERTable,21,2022-07-01T00:00:00.000Z,1722,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
User:AmandaNP/unblock_table,22,2022-07-01T00:00:00.000Z,1615,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Project:Administrators'_noticeboard,23,2022-07-01T00:00:00.000Z,1584,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
User:DatBot/newpagesbacklog,24,2022-07-01T00:00:00.000Z,1584,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Project:Help_desk,25,2022-07-01T00:00:00.000Z,1566,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Project:Community_portal/Open_tasks,26,2022-07-01T00:00:00.000Z,1507,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Shinzo_Abe,27,2022-07-01T00:00:00.000Z,1486,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
User:WQUlrich/sandbox,28,2022-07-01T00:00:00.000Z,1474,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
User:খাঁটি_বাঙালি/sandbox,29,2022-07-01T00:00:00.000Z,1464,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
User:Gasforth-2021/Чек,30,2022-07-01T00:00:00.000Z,1452,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Project:Requested_moves/Current_discussions,31,2022-07-01T00:00:00.000Z,1352,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
User:Cyberbot_I/Requests_for_unblock_report,32,2022-07-01T00:00:00.000Z,1345,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Project:Requested_moves/Current_discussions_(alt),33,2022-07-01T00:00:00.000Z,1341,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Project:Dashboard/Requested_moves,34,2022-07-01T00:00:00.000Z,1281,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Project:Reliable_sources/Noticeboard,35,2022-07-01T00:00:00.000Z,1266,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
User:DavidZD97/sandbox,36,2022-07-01T00:00:00.000Z,1244,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
User:BarehamOliver/sandbox,37,2022-07-01T00:00:00.000Z,1183,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Project:Articles_for_creation/recent,38,2022-07-01T00:00:00.000Z,1180,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
2022_monkeypox_outbreak,39,2022-07-01T00:00:00.000Z,1175,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Project:Requested_moves/Technical_requests,40,2022-07-01T00:00:00.000Z,1169,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
