page_title,rank,timestamp,total.total,month,timeRange.start,timeRange.end
بارستو_(كاليفورنيا),1,2022-07-01T00:00:00.000Z,2,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
جاك_البرتسون,2,2022-07-01T00:00:00.000Z,2,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
ميرتكان_ديميرير,3,2022-07-01T00:00:00.000Z,2,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
نازلى_كاجلا_دونيرتاس,4,2022-07-01T00:00:00.000Z,2,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
ماكيت_كوبر,5,2022-07-01T00:00:00.000Z,2,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
ياونكا_اڤسيميك,6,2022-07-01T00:00:00.000Z,2,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
2SLAQ_J105901.46_000348.6_(مجره),7,2022-07-01T00:00:00.000Z,1,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
2SLAQ_J131814.71+000508.0_(مجره),8,2022-07-01T00:00:00.000Z,1,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
2dFGRS_TGN275Z259_(مجره),9,2022-07-01T00:00:00.000Z,1,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
1574_مير_(كويكب),10,2022-07-01T00:00:00.000Z,1,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
16951_كارولوس_كوارتوس_(كويكب),11,2022-07-01T00:00:00.000Z,1,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
