page_title,rank,timestamp,total.total,month,timeRange.start,timeRange.end
"Rockwood,_Spokane",1,2022-07-01T00:00:00.000Z,124,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
"West_Central,_Spokane",2,2022-07-01T00:00:00.000Z,124,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
"Whitman,_Spokane",3,2022-07-01T00:00:00.000Z,124,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
"Browne's_Addition,_Spokane",4,2022-07-01T00:00:00.000Z,123,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
"Chief_Garry_Park,_Spokane",5,2022-07-01T00:00:00.000Z,123,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
"Hillyard,_Spokane",6,2022-07-01T00:00:00.000Z,123,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
"Logan,_Spokane",7,2022-07-01T00:00:00.000Z,123,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
"North_Hill,_Spokane",8,2022-07-01T00:00:00.000Z,123,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
"Five_Mile_Prairie,_Spokane",9,2022-07-01T00:00:00.000Z,123,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
"Balboa/South_Indian_Trail,_Spokane",10,2022-07-01T00:00:00.000Z,122,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
"Bemiss,_Spokane",11,2022-07-01T00:00:00.000Z,122,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
"Minnehaha,_Spokane",12,2022-07-01T00:00:00.000Z,122,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
"Nevada_Heights,_Spokane",13,2022-07-01T00:00:00.000Z,122,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
"Northwest,_Spokane",14,2022-07-01T00:00:00.000Z,122,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
"Peaceful_Valley,_Spokane",15,2022-07-01T00:00:00.000Z,122,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
"East_Central,_Spokane",16,2022-07-01T00:00:00.000Z,122,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
