page_title,rank,timestamp,total.total,month,timeRange.start,timeRange.end
User:AmandaNP/UAA/Time,1,2022-07-01T00:00:00.000Z,4458,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Project:Administrator_intervention_against_vandalism,2,2022-07-01T00:00:00.000Z,3124,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
User:DannyS712_bot_III/Redirects.json,3,2022-07-01T00:00:00.000Z,2770,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Project:Requested_moves/Current_discussions_(table),4,2022-07-01T00:00:00.000Z,2516,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
User:DatBot/pendingbacklog,5,2022-07-01T00:00:00.000Z,2143,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Project:Sockpuppet_investigations/SPI/Cases,6,2022-07-01T00:00:00.000Z,1892,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
User:AmandaNP/SPI_case_list,7,2022-07-01T00:00:00.000Z,1875,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Project:Administrator_intervention_against_vandalism/TB2,8,2022-07-01T00:00:00.000Z,1862,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
User:AnomieBOT/SPERTable,9,2022-07-01T00:00:00.000Z,1722,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
User:AmandaNP/unblock_table,10,2022-07-01T00:00:00.000Z,1615,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
User:DatBot/newpagesbacklog,11,2022-07-01T00:00:00.000Z,1584,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Project:Community_portal/Open_tasks,12,2022-07-01T00:00:00.000Z,1479,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
