page_title,rank,timestamp,total.total,month,timeRange.start,timeRange.end
Project:إخطار_الإداريين/استرجاع/الحالية,1,2022-07-01T00:00:00.000Z,448,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Project:طلبات_مراجعة_المقالات,2,2022-07-01T00:00:00.000Z,430,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Project:طلبات_مراجعة_التعديلات,3,2022-07-01T00:00:00.000Z,361,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Project:طلبات_النقل/الحالية,4,2022-07-01T00:00:00.000Z,288,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Project:طلبات_رفع_صور,5,2022-07-01T00:00:00.000Z,204,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
User:Mr.Karhi/ملعب7,6,2022-07-01T00:00:00.000Z,185,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Project:تغيير_اسم_المستخدم/طلبات_تغيير,7,2022-07-01T00:00:00.000Z,173,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
User:Mr.Karhi/ملعب13,8,2022-07-01T00:00:00.000Z,165,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
User talk:Nehaoua,9,2022-07-01T00:00:00.000Z,136,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
User:Michel_Bakni/ملعب,10,2022-07-01T00:00:00.000Z,126,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
User talk:جار_الله,11,2022-07-01T00:00:00.000Z,110,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Project:طلبات_نقل_التصنيفات,12,2022-07-01T00:00:00.000Z,104,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
User:Mr.Karhi/ملعب8,13,2022-07-01T00:00:00.000Z,99,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
User:Mr.Karhi/ملعب6,14,2022-07-01T00:00:00.000Z,97,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Project:طلبات_صلاحيات/إعطاء,15,2022-07-01T00:00:00.000Z,95,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
User:وليدالصكر/ملعب,16,2022-07-01T00:00:00.000Z,92,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
User:يحيى_بن_علي/ملعب6,17,2022-07-01T00:00:00.000Z,90,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
User talk:Dr-Taher,18,2022-07-01T00:00:00.000Z,87,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
User talk:Dyolf77,19,2022-07-01T00:00:00.000Z,78,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
User talk:Karim185.3,20,2022-07-01T00:00:00.000Z,77,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
User talk:محمد_أحمد_عبد_الفتاح,21,2022-07-01T00:00:00.000Z,72,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Project:إخطار_الإداريين/منع/الحالية,22,2022-07-01T00:00:00.000Z,71,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
User talk:Dr._Mohammed,23,2022-07-01T00:00:00.000Z,70,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
User:Sarah_Ab/قائمة_أعمال_عمر_فروخ,24,2022-07-01T00:00:00.000Z,70,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Project:يوم_ويكيبيديا_العربية_الثامن_عشر/المشاركون,25,2022-07-01T00:00:00.000Z,65,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
