user_text,rank,timestamp,total.total,month,timeRange.start,timeRange.end
HitomiAkane,1,2022-07-01T00:00:00.000Z,25055,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
El Gaafary,2,2022-07-01T00:00:00.000Z,947,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Kiro Bassem,3,2022-07-01T00:00:00.000Z,422,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Raafat,4,2022-07-01T00:00:00.000Z,145,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Ghaly,5,2022-07-01T00:00:00.000Z,58,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Mr.Karhi,6,2022-07-01T00:00:00.000Z,48,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
CommonsDelinker,7,2022-07-01T00:00:00.000Z,36,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
MdsShakil,8,2022-07-01T00:00:00.000Z,31,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Karim185.3,9,2022-07-01T00:00:00.000Z,27,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
MO7mmd,10,2022-07-01T00:00:00.000Z,21,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Tehonk,11,2022-07-01T00:00:00.000Z,18,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
QueerEcofeminist,12,2022-07-01T00:00:00.000Z,17,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Elnajmi1972,13,2022-07-01T00:00:00.000Z,13,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Gisbert K,14,2022-07-01T00:00:00.000Z,10,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Vladimir Solovjev,15,2022-07-01T00:00:00.000Z,10,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Superpes15,16,2022-07-01T00:00:00.000Z,9,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Cabayi,17,2022-07-01T00:00:00.000Z,8,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Vincent Vega,18,2022-07-01T00:00:00.000Z,8,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Uuuuuuuuuuuuu7uuuuuuuuuuu7uuuuuu7,19,2022-07-01T00:00:00.000Z,7,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Gerd Eichmann,20,2022-07-01T00:00:00.000Z,6,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Gobonobo,21,2022-07-01T00:00:00.000Z,5,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Vysotsky,22,2022-07-01T00:00:00.000Z,5,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
FMSky,23,2022-07-01T00:00:00.000Z,5,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Kelhuri,24,2022-07-01T00:00:00.000Z,4,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Mervat (WMF),25,2022-07-01T00:00:00.000Z,4,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Mtarch11,26,2022-07-01T00:00:00.000Z,4,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Mykola7,27,2022-07-01T00:00:00.000Z,4,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
اسلاميون,28,2022-07-01T00:00:00.000Z,4,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
باسم,29,2022-07-01T00:00:00.000Z,4,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
حسام علي جاد طبيب ومعالج بيطري,30,2022-07-01T00:00:00.000Z,4,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
حسام علي جاد معالج بيطري,31,2022-07-01T00:00:00.000Z,4,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
شيماء,32,2022-07-01T00:00:00.000Z,4,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Adcgyr,33,2022-07-01T00:00:00.000Z,4,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Bnsolo,34,2022-07-01T00:00:00.000Z,4,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Coinbasic,35,2022-07-01T00:00:00.000Z,4,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
Céréales Killer,36,2022-07-01T00:00:00.000Z,4,2022-07-01T00:00:00.000Z,2022-07-01T00:00:00.000Z,2022-08-01T00:00:00.000Z
